character played,opponent char,ipm,win,length,openingPerKill,damagePerOpening,neutralWinRatio,openingConversionRate,ddCount,wdCount,lgCount,numGrabs
Fox,1,400,0,11356,7,20.3,0.5,0.6,56,61,11,7
Fox,0,447,1,9210,3.8,27.1,0.7,0.7,36,16,11,4
Fox,1,607,1,7725,3.3,23.3,0.5,0.7,29,28,11,11
Fox,0,447,1,7006,3,27.8,0.4,0.8,41,24,10,9
Falco,0,473,0,11754,8,16.5,0.6,0.4,31,20,7,1
Marth,0,438,0,8248,6.5,23.9,0.4,0.5,38,26,7,4
Falco,0,563,1,7122,5.3,22.9,0.9,0.7,10,29,7,3
Fox,0,390,0,9308,18,11.7,0.4,0.3,59,12,6,3
Falco,0,518,1,10311,4.8,24.6,0.4,0.5,24,32,8,0
Falco,0,492,0,6384,6,19.5,0.6,0.6,12,6,5,1
Fox,0,463,1,7781,3.8,24.6,0.6,0.6,49,22,4,10
Fox,0,467,1,10453,4.5,27.9,0.7,0.6,89,33,8,13
Falco,2,679,1,8305,4.3,26,0.6,0.8,14,24,5,1
Falco,2,530,0,5050,2.7,31.1,0.7,0.9,8,21,4,8
Marth,1,394,0,11470,8.5,18.5,0.4,0.5,46,19,12,21
Fox,0,643,1,6642,3.3,22.5,0.6,0.5,18,26,8,2
Falco,2,420,1,11563,4.5,14.5,0.4,0.5,30,25,0,4
Falco,1,522,0,6743,8,13.3,0.2,0.5,0,0,1,3
Fox,2,527,0,8577,13,15.6,0.4,0.4,31,5,4,6
Marth,2,530,0,7700,4,21.3,0.6,0.7,34,21,4,11
Jigglypuff,3,527,0,8807,13,12.6,0.4,0.2,14,11,1,1
Falco,0,491,0,13618,10.3,19.9,0.7,0.5,34,17,7,3
Falco,2,440,0,8854,7,22.1,0.6,0.6,29,8,2,3
Fox,0,614,1,11771,7,16.7,0.5,0.4,51,45,16,17
Falco,1,484,0,11615,6.3,22.2,0.6,0.6,26,17,14,4
Fox,2,494,0,8670,6,18.1,0.5,0.4,43,30,4,7
Fox,3,653,1,5539,2.8,30.8,0.8,0.7,57,40,0,6
Fox,1,382,0,14333,7,16.1,0.5,0.5,50,38,9,8
Marth,1,419,0,7228,5.5,22.5,0.4,0.5,17,6,3,7
Jigglypuff,1,500,0,8928,8.5,17.4,0.5,0.4,0,4,6,4
Marth,0,473,0,7362,6.3,20.1,0.7,0.5,39,16,4,14
Falco,3,426,0,6875,6,20.6,0.6,0.4,8,12,3,2
Falco,1,491,1,8375,5,21.6,0.6,0.7,27,17,3,4
Fox,1,479,1,8345,3.3,32.3,0.6,0.8,58,21,9,13
Fox,1,539,0,9932,6.7,15.8,0.6,0.5,50,41,11,8
Fox,3,522,1,12387,4.8,22.2,0.6,0.6,82,35,9,8
Jigglypuff,0,300,1,9244,4.5,18.9,0.5,0.3,3,3,6,13
Fox,0,616,1,10949,5,16.3,0.3,0.5,58,61,23,5
Fox,0,406,0,13497,8,19.3,0.5,0.5,63,27,17,8
Fox,3,619,1,5858,3,29.5,0.7,0.8,107,10,1,4
Falco,1,399,0,9295,6.5,16.5,0.5,0.6,12,12,9,0
Falco,2,605,1,10442,5.3,19.2,0.3,0.4,24,10,5,2
Marth,3,488,0,6406,8,22.3,0.2,0.8,5,6,1,8
Falco,2,470,0,11197,12,17.3,0.4,0.5,5,17,6,2
Falco,0,549,1,12712,5.8,21.5,0.5,0.6,42,19,2,5
Marth,0,538,1,12751,7,19.1,0.6,0.6,75,23,11,19
Fox,0,509,1,9832,4,19.6,0.3,0.6,49,40,9,20
Fox,0,339,0,10078,7.3,14.4,0.5,0.5,9,9,8,8
Fox,2,431,1,16437,7.3,19.6,0.5,0.5,77,84,4,12
Fox,0,534,0,11657,6.3,19.3,0.5,0.5,35,53,5,20
Fox,0,568,0,16586,11,15.5,0.4,0.4,83,57,8,20
Fox,0,400,0,5299,3,28.9,0.2,1,37,17,3,10
Fox,0,548,0,9809,10,17.7,0.5,0.5,49,16,8,13
Fox,2,543,1,11822,4.5,23.3,0.5,0.7,50,50,13,9
Marth,1,318,1,9741,4.8,20.5,0.6,0.5,54,5,16,14
Falco,2,395,0,9060,5,15.8,0.3,0.6,20,9,7,3
Falco,0,459,1,8560,4.5,22,0.6,0.7,13,6,14,3
Fox,1,430,1,14758,7.3,18.6,0.5,0.5,108,102,10,7
Fox,1,376,1,5998,3.8,16.6,0.5,0.5,13,11,7,2
Fox,0,410,0,13675,9.5,15.4,0.5,0.3,25,26,1,12
Fox,1,453,0,10469,6.7,12.7,0.7,0.4,76,20,2,10
Fox,0,334,0,10964,9.5,17.5,0.5,0.3,13,21,7,3
Fox,0,508,1,8339,5,19.7,0.8,0.7,31,46,2,8
Falco,2,502,0,9383,4.3,24.3,0.4,0.5,4,12,5,1
Fox,2,520,1,8893,6.5,12.6,0.5,0.4,39,34,8,4
